#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
rule_slovenians_desc;Become High Chief of Ilmen Slavs and lead your brethren to glory.;Become High Chief of Ilmen Slavs and lead your brethren to glory.;Become High Chief of Ilmen Slavs and lead your brethren to glory.;;Become High Chief of Ilmen Slavs and lead your brethren to glory.;;;;;;;;;x
rule_volhyniani;Rull the Tribe of Volhynians;Rull the Tribe of Volhynians;Rull the Tribe of Volhynians;;Rull the Tribe of Volhynians;;;;;;;;;x
rule_volhyniani_desc;Become High Chief of Volhynians and lead your brethren to glory.;Become High Chief of Volhynians and lead your brethren to glory.;Become High Chief of Volhynians and lead your brethren to glory.;;Become High Chief of Volhynians and lead your brethren to glory.;;;;;;;;;x
rule_kryvians;Rull the Tribe of Krivichi;Rull the Tribe of Krivichi;Rull the Tribe of Krivichi;;Rull the Tribe of Krivichi;;;;;;;;;x
rule_kryvians_desc;Become High Chief of Krivichi and lead your brethren to glory.;Become High Chief of Krivichi and lead your brethren to glory.;Become High Chief of Krivichi and lead your brethren to glory.;;Become High Chief of Krivichi and lead your brethren to glory.;;;;;;;;;x
rule_severians;Rull the Tribe of Severiane;Rull the Tribe of Severiane;Rull the Tribe of Severiane;;Rull the Tribe of Severiane;;;;;;;;;x
rule_severians_desc;Become High Chief of Severians and lead your brethren to glory.;Become High Chief of Severians and lead your brethren to glory.;Become High Chief of Severians and lead your brethren to glory.;;Become High Chief of Severians and lead your brethren to glory.;;;;;;;;;x
rule_vyatichi;Rull the Tribe of Vyatichi;Rull the Tribe of Vyatichi;Rull the Tribe of Vyatichi;;Rull the Tribe of Vyatichi;;;;;;;;;x
rule_vyatichi_desc;Become High Chief of Vyatichi and lead your brethren to glory.;Become High Chief of Vyatichi and lead your brethren to glory.;Become High Chief of Vyatichi and lead your brethren to glory.;;Become High Chief of Vyatichi and lead your brethren to glory.;;;;;;;;;x
rule_dregovichi;Rull the Tribe of Dregovichi;Rull the Tribe of Dregovichi;Rull the Tribe of Dregovichi;;Rull the Tribe of Dregovichi;;;;;;;;;x
rule_dregovichi_desc;Become High Chief of Dregovichi and lead your brethren to glory.;Become High Chief of Dregovichi and lead your brethren to glory.;Become High Chief of Dregovichi and lead your brethren to glory.;;Become High Chief of Dregovichi and lead your brethren to glory.;;;;;;;;;x
rule_radimichi;Rull the Tribe of Radimichi;Rull the Tribe of Radimichi;Rull the Tribe of Radimichi;;Rull the Tribe of Radimichi;;;;;;;;;x
rule_radimichi_desc;Become High Chief of Radimichi and lead your brethren to glory.;Become High Chief of Radimichi and lead your brethren to glory.;Become High Chief of Radimichi and lead your brethren to glory.;;Become High Chief of Radimichi and lead your brethren to glory.;;;;;;;;;x
convert_to_rusyn;Embrace Rusyn Culture;;;;;;;;;;;;;x
convert_to_rusyn_desc;Our brethren in Kiev and Muscovy are adopting foreign customs and speak with ever thicker accents. Perhaps it is time to develop our own distinct culture...;;;;;;;;;;;;;x
create_carpathian_rus;Create Carpathian Rus;;;;;;;;;;;;;x
create_carpathian_rus_desc;Unite your rusyn people and lead them to glory as the rulers of Carpathian region.;;;;;;;;;;;;;x
hold_kupala;Hold Kupala Night;;;;;;;;;;;;;x
hold_kupala_desc;Celebrate the summer solstice and fertility rite with a great festival.;;;;;;;;;;;;;x
reform_rus_religion;Start religion reform in Rus;;;;;;;;;;;;;x
reform_rus_religion_desc;Start the religion reform and choose a new strong religion to replace wicked disorganised paganism in your land.;;;;;;;;;;;;;x
hold_koliada;Hold Koliada;;;;;;;;;;;;;x
hold_koliada_desc;Celebrate the winter solstice and end of the year with a great festival.;;;;;;;;;;;;;x
#;;;;;;;;;;;;;x
